listing_id,listing_name,listing_type,room_type,host_id,host_name,superhost,latitude,longitude,guests,bedrooms,beds,baths,amenities,instant_book,min_nights,cancellation_policy,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_cleanliness,rating_location,rating_value,ttm_revenue,ttm_avg_rate,ttm_occupancy,ttm_revpar,l90d_revenue,l90d_avg_rate,l90d_occupancy,l90d_revpar,location_from_name,city_category
11600205,2 Bedroom Apartment on Chaikovski street,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1748,44.5175,5,2,4,1,NA,TRUE,2,moderate,0,0,18,4.94,4.9,5,4.8,16519,95.8,0.4,45.3,4055,95.8,0.5,45.1,NA,Yerevan_area
11610703,Lenin apartment,entire rental unit,entire_home,40833948,Elena,TRUE,40.1913,44.4684,4,1,1,1.5,NA,FALSE,2,strict,10,0,34,4.91,4.9,4.4,4.8,634,54.5,0,1.7,634,54.1,0.1,7,NA,Yerevan_area
11667395,2 Bedroom Apartment in Alley Residence,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1813,44.5116,5,2,4,1,NA,TRUE,2,moderate,0,0,11,4.91,5,5,4.8,16627,117.2,0.4,45.6,1843,119.1,0.2,20.5,NA,Yerevan_area
11748412,Studio near ANI PLAZA hotel,entire rental unit,entire_home,14548097,Armen,TRUE,40.1824,44.5198,2,1,1,1,NA,FALSE,3,moderate,11,0,75,4.96,4.9,5,4.8,8113,39,0.6,22.2,1275,41.4,0.4,14.2,NA,Yerevan_area
11790453,Quiet apartment in the city center,entire rental unit,entire_home,13861622,Gayane,TRUE,40.1782,44.5044,3,1,1,1,NA,FALSE,5,moderate,20,0,67,4.97,5,5,4.9,3791,36.9,0.3,10.4,0,37.5,0,0,NA,Yerevan_area
11885176,Your home in Yerevan ❤.,entire serviced apartment,entire_home,63376501,Emma,FALSE,40.183,44.5179,4,2,3,1,NA,FALSE,2,flexible,10,0,20,4.95,5,5,5,6955,81,0.2,19.1,865,77.8,0.1,9.6,yerevan,Yerevan_area
11905013,apartment with  1 bedroom  in the  very  center of the city,entire rental unit,entire_home,63376501,Emma,FALSE,40.1834,44.5169,2,1,1,1,NA,NA,2,flexible,11,NA,8,4.75,4.9,5,4.8,568,41.3,0,1.6,0,41.3,0,0,NA,Yerevan_area
12017989,Luxury 1-BDR/New building/Arami str/Downtown,entire rental unit,entire_home,511676899,My,TRUE,40.1843,44.5073,4,1,2,1,NA,TRUE,5,moderate,25,0,41,4.95,5,5,4.9,9902,66.2,0.4,27.1,4742,79.1,0.7,52.7,NA,Yerevan_area
12018017,1-BDR/City Centre/Historical/Self Check-in,entire rental unit,entire_home,511676899,My,TRUE,40.1829,44.5181,3,1,2,1,NA,TRUE,7,moderate,25,0,35,4.91,4.9,4.9,4.8,6206,52.2,0.3,17,2511,58.3,0.4,27.9,NA,Yerevan_area
12043699,PARK APARTMENT,entire rental unit,entire_home,43891362,Artak,FALSE,40.1911,44.5063,2,1,1,1,NA,FALSE,4,strict,0,0,29,4.66,4.6,4.9,4.8,2057,47.6,0.1,5.6,0,47.3,0,0,NA,Yerevan_area
12102480,Apartment with best Cascade view,entire rental unit,entire_home,64891798,Levon,FALSE,40.1893,44.5154,4,3,3,1,NA,TRUE,1,flexible,10,10,53,4.7,4.4,5,4.6,497,43.5,0,1.4,497,40.8,0.1,5.5,NA,Yerevan_area
12108497,Comfy apartment in the city center,entire serviced apartment,entire_home,13861622,Gayane,TRUE,40.1776,44.5058,2,1,1,1,NA,FALSE,3,moderate,20,0,127,4.96,5,4.9,4.9,9465,32.2,0.8,25.9,2772,34.9,0.9,30.8,NA,Yerevan_area
12127185,Modern Lux 2BR  w/Pool...Near Cascade,entire rental unit,entire_home,47208682,Ara,TRUE,40.1913,44.5026,6,2,3,2.5,NA,FALSE,14,moderate,35,0,58,5,5,4.9,5,13809,126.2,0.3,37.8,3021,135.1,0.2,33.6,NA,Yerevan_area
12343267,Private room in a cozy guesthouse N1:),private room in bed and breakfast,private_room,66340406,Zara,FALSE,40.1977,44.4969,NA,NA,1,0,NA,NA,1,flexible,3,NA,23,4.39,4.1,4.4,4.5,196,13.7,0,0.5,0,11.2,0,0,NA,Yerevan_area
12429034,2-bedroom Spacious Apt Downtown EVN,entire rental unit,entire_home,67229404,Anahit,FALSE,40.1787,44.5203,3,1,2,1,NA,FALSE,3,moderate,30,0,25,5,5,5,5,680,131.3,0,1.9,0,205.3,0,0,NA,Yerevan_area
12488176,Sunny house near Cascade with Ararat view,entire home,entire_home,67607832,Narine,TRUE,40.192,44.5177,6,2,4,1,NA,FALSE,3,strict,0,0,30,4.63,4.8,4.8,4.7,5789,37.4,0.4,15.9,1516,40.4,0.4,16.8,NA,Yerevan_area
12758332,1-BDR/Perfect Location/Downtown/Cozy,entire serviced apartment,entire_home,511676899,My,TRUE,40.1827,44.5167,4,1,2,1,NA,TRUE,7,moderate,25,0,27,4.93,4.9,5,5,8705,53.3,0.5,23.8,2380,63.9,0.4,26.4,NA,Yerevan_area
12794344,Superb 1 BD apartment in the heart of Yerevan,entire rental unit,entire_home,24178703,Peter,FALSE,40.1762,44.5114,2,1,1,1,NA,FALSE,5,strict,40,10,22,5,5,5,4.9,754,65.9,0,2.1,754,61.8,0.1,8.4,yerevan,Yerevan_area
12903117,"Explore Yerevan, Komitas 22",entire rental unit,entire_home,68267119,Armik,FALSE,40.2034,44.4998,4,1,2,1,NA,FALSE,1,moderate,0,0,10,4.8,4.5,4.9,4.5,761,47.9,0,2.1,553,46.4,0.1,6.1,yerevan,Other_Armenia
12936989,Apartament Tigran Petrosyan 39/5,entire rental unit,entire_home,71056424,Karen,FALSE,40.2242,44.5041,3,NA,1,1,NA,TRUE,3,flexible,0,0,1,NA,NA,NA,NA,561,50.4,0,1.5,0,50.5,0,0,NA,Other_Armenia
12937541,Apartament Tigran Petrosyan 39/5,entire guesthouse,entire_home,71056424,Karen,FALSE,40.2232,44.5056,4,1,7,1,NA,TRUE,1,flexible,0,0,1,NA,NA,NA,NA,466,38.5,0,1.3,0,35.8,0,0,NA,Other_Armenia
12976778,sunny room with a balcony in the heart of the city,private room in rental unit,private_room,50908779,Shoghik,TRUE,40.1701,44.5145,NA,NA,1,0,NA,TRUE,1,moderate,5,14,155,4.91,4.9,4.9,4.8,2272,29,0.2,6.2,544,31.8,0.2,6,NA,Yerevan_area
13121176,Mini Hotel,entire rental unit,entire_home,71056424,Karen,FALSE,40.2231,44.5048,3,1,9,1,NA,TRUE,1,strict,0,0,1,NA,NA,NA,NA,556,50.3,0,1.5,0,50.4,0,0,NA,Other_Armenia
13325847,Metro apartment,entire rental unit,entire_home,40833948,Elena,TRUE,40.1997,44.4991,4,1,1,1,NA,FALSE,1,strict,0,0,106,4.92,5,4.8,4.8,6907,45,0.4,18.9,1630,52.2,0.4,18.1,NA,Yerevan_area
13631391,2-BDR/Abovyan str/Downtown/Modern,entire serviced apartment,entire_home,511676899,My,TRUE,40.1882,44.5235,6,2,4,1,NA,TRUE,3,moderate,30,0,44,4.82,4.7,4.9,4.8,7274,77.3,0.3,19.9,1099,86.8,0.1,12.2,NA,Yerevan_area
13746627,Yerevan Central Sunny Apartment Self Check-in 24/7,entire rental unit,entire_home,80506026,Manushak,TRUE,40.1827,44.5208,2,1,1,1,NA,FALSE,3,moderate,17,0,48,4.98,5,4.9,4.9,7021,68.5,0.3,19.2,1638,58.4,0.3,18.2,yerevan,Yerevan_area
13832957,Apartment for Rent in Yerevan,entire rental unit,entire_home,5645292,Aram,FALSE,40.1779,44.5247,2,1,1,1,NA,FALSE,15,strict,0,0,5,4.6,4.6,5,4,393,34.3,0,1.1,0,32.6,0,0,yerevan,Yerevan_area
13836688,Nice apartment at Republic Square. New building!,entire rental unit,entire_home,29942157,Arsen,FALSE,40.18,44.5152,4,2,3,1,NA,FALSE,3,strict,0,0,116,4.92,4.9,5,4.9,1088,95.2,0,3,1088,98.3,0.1,12.1,NA,Yerevan_area
14018876,Bunglow with a garden view :),private room in bed and breakfast,private_room,66340406,Zara,FALSE,40.198,44.4974,NA,NA,1,0,NA,NA,1,flexible,2,NA,21,4.48,3.9,4.5,4.7,183,12.8,0,0.5,0,10.5,0,0,NA,Yerevan_area
14118707,Cosy Apartment on the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1759,44.5107,3,2,1,1,NA,FALSE,10,strict,0,0,24,4.83,4.8,5,4.6,9103,38,0.6,24.9,2415,42.4,0.7,26.8,NA,Yerevan_area
14140135,"Center of Yerevan, 5 min away from Opera",entire rental unit,entire_home,18880692,Anna,FALSE,40.1822,44.5202,3,1,2,1.5,NA,FALSE,1,flexible,28,0,26,4.85,4.9,4.9,4.9,1594,46.8,0.1,4.4,41,39.7,0,0.5,yerevan,Yerevan_area
14164123,Nice Apt. at the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1779,44.5138,3,1,1,1,NA,FALSE,10,strict,0,0,21,5,5,5,5,8266,40.6,0.5,22.6,2808,41.6,0.7,31.2,NA,Yerevan_area
14216625,Luxury Apt. in a New Build. at the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1784,44.5143,5,2,2,1,NA,FALSE,10,strict,0,0,2,NA,NA,NA,NA,998,60.5,0,2.7,705,64,0.1,7.8,NA,Yerevan_area
14223474,Cozy apt at the heart of Yerevan,entire rental unit,entire_home,49922485,Tigran,FALSE,40.1826,44.5096,4,1,2,1,NA,FALSE,2,moderate,10,0,62,4.74,4.7,5,4.7,4891,45.7,0.3,13.4,462,51.1,0.1,5.1,yerevan,Yerevan_area
14263205,Luxury 2 Bedroom Apt. at the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1783,44.5141,5,2,2,1,NA,FALSE,10,strict,0,0,5,5,5,5,5,2979,56.3,0.2,8.2,708,57.9,0.1,7.9,NA,Yerevan_area
14263606,Posh 2 Bedroom Apt. at the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1785,44.5142,4,2,3,1,NA,FALSE,10,strict,0,0,5,4.8,4.8,5,5,1076,60.3,0,2.9,689,61,0.1,7.7,NA,Yerevan_area
14355206,HOLIDAY,entire home,entire_home,86984880,Zaven,FALSE,40.1547,44.5153,9,4,4,2.5,NA,FALSE,3,flexible,0,0,3,4.33,5,4.3,4.3,5694,110.2,0.1,15.6,0,0,0,0,NA,Yerevan_area
14521957,15min to center-Sunny House-extremely low price,entire rental unit,entire_home,89739990,Ani,FALSE,40.2039,44.5219,3,1,3,1,NA,TRUE,3,moderate,15,0,60,4.87,4.9,4.7,4.8,1918,32.6,0.2,5.3,30,34.2,0,0.3,NA,Other_Armenia
14719183,3 bedroom apartment 140 sqm on the 4th floor,entire rental unit,entire_home,76161999,George,FALSE,40.1803,44.5063,6,3,4,1,NA,FALSE,7,flexible,0,0,22,4.73,4.7,4.9,4.7,9301,92,0.3,25.5,1305,95.2,0.2,14.5,NA,Yerevan_area
14757932,One-bedroom Apt. on the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1803,44.5081,3,1,1,1,NA,FALSE,10,strict,0,0,2,NA,NA,NA,NA,1017,45.1,0.1,2.8,560,45,0.1,6.2,NA,Yerevan_area
14869723,Apt. on the Republic Square with a View on Ararat,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1808,44.5083,3,1,1,1,NA,FALSE,10,strict,0,0,30,4.83,4.8,4.8,4.8,4899,38.3,0.3,13.4,1359,41.6,0.4,15.1,NA,Yerevan_area
14881166,"Spacious, bright 2-room apartment in the center",entire rental unit,entire_home,93281409,Armen,FALSE,40.1787,44.5187,4,2,4,1.5,NA,FALSE,2,flexible,0,0,19,4.68,4.4,4.9,4.7,3652,56.8,0.2,10,3652,61.1,0.7,40.6,NA,Yerevan_area
15177004,Beautiful sunny home,entire rental unit,entire_home,96326033,Sirun,FALSE,40.2,44.5601,6,2,3,1.5,NA,FALSE,7,firm,35,0,37,5,5,4.9,4.9,1131,40.6,0.1,3.1,555,43.1,0.1,6.2,NA,Yerevan_area
15235876,"City Center. Nice, clean and  quiet  Apartment",entire rental unit,entire_home,96858399,Diana,FALSE,40.1804,44.5056,5,2,4,1,NA,FALSE,7,moderate,30,0,16,5,5,5,5,1147,58,0.1,3.1,0,64.2,0,0,NA,Yerevan_area
15696032,"Rent in Yerevan, rent in Yerevan city center",entire rental unit,entire_home,101330268,Paruyr,FALSE,40.1805,44.522,3,1,1,1,NA,FALSE,2,firm,0,0,6,5,4.8,5,5,1643,94.2,0,4.5,614,87.1,0.1,6.8,yerevan,Yerevan_area
15856065,Cosy flat in the centre of Yerevan,entire rental unit,entire_home,102750771,Sona,FALSE,40.182,44.52,2,1,1,1,NA,FALSE,3,moderate,0,0,49,4.88,4.8,4.9,4.7,1859,41.8,0.1,5.1,0,38.7,0,0,yerevan,Yerevan_area
15878898,Studio Apartment in Alley Residence,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1816,44.5111,2,1,2,1,NA,TRUE,2,moderate,0,0,28,4.89,4.9,5,4.8,11882,70.4,0.4,32.6,3643,66.4,0.6,40.5,NA,Yerevan_area
15879395,Studio Apartment in Alley Residence,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1815,44.5111,2,1,2,1,NA,TRUE,2,moderate,0,0,46,4.87,4.9,5,4.8,14835,71.8,0.5,40.6,2122,74.5,0.3,23.6,NA,Yerevan_area
15937376,Good location and comfortable flat in Yerevan,entire rental unit,entire_home,103438567,Shushan,FALSE,40.1913,44.5033,4,2,3,1,NA,NA,3,flexible,20,NA,31,4.97,5,4.9,4.8,3278,61.7,0.2,9,0,65.1,0,0,yerevan,Yerevan_area
16073280,Comfortable apartment near farmers market,entire rental unit,entire_home,3705068,Sam,FALSE,40.2052,44.5209,2,1,2,1,NA,TRUE,7,moderate,40,0,8,4.38,3.8,4.3,4.4,1924,15.7,0.3,5.3,620,12.9,0.5,6.9,NA,Other_Armenia
16181935,My Apartments Yerevan (Duplex),entire serviced apartment,entire_home,105656520,My Apartments,FALSE,40.1844,44.5217,4,2,5,1,NA,TRUE,1,flexible,0,0,189,4.75,4.8,4.9,4.8,1566,90.5,0,4.3,0,82.1,0,0,yerevan,Yerevan_area
16183274,My Apartments Yerevan (Studio),entire serviced apartment,entire_home,105656520,My Apartments,FALSE,40.1848,44.5203,3,NA,2,1,NA,TRUE,1,flexible,0,0,32,4.84,5,5,4.8,1877,78.6,0.1,5.1,943,77.9,0.1,10.5,yerevan,Yerevan_area
16279137,"Central, modern flat with Ararat view from balcony",entire rental unit,entire_home,16610743,Lene,FALSE,40.1838,44.5166,2,1,5,1,NA,FALSE,2,moderate,10,0,72,4.9,4.8,5,4.9,4154,81.2,0.1,11.4,0,83.4,0,0,NA,Yerevan_area
16422668,Your  ideal apartment in the center of Yerevan,entire rental unit,entire_home,107652567,Rita,FALSE,40.1813,44.5276,3,2,3,1,NA,FALSE,2,flexible,30,0,7,5,5,5,5,7936,82.2,0.3,21.7,1301,82.7,0.2,14.5,yerevan,Yerevan_area
16568880,Apartment in center North Avenue,entire rental unit,entire_home,109148552,Mихаил,TRUE,40.1836,44.5134,3,1,1,1,NA,TRUE,1,moderate,10,0,307,4.9,4.9,5,4.9,12148,46.2,0.7,33.3,3490,48.1,0.8,38.8,NA,Yerevan_area
16610492,Nice & Cozy apartment near Dalma Garden Mall,entire rental unit,entire_home,51153256,Louisa,FALSE,40.1795,44.4881,4,1,2,1,NA,FALSE,3,flexible,9,15,3,5,5,5,5,619,50.3,0,1.7,619,50.4,0.1,6.9,NA,Yerevan_area
16974466,2-BDR/Perfect Location/Cozy,entire rental unit,entire_home,511676899,My,TRUE,40.184,44.5188,6,2,3,1,NA,TRUE,4,moderate,30,0,35,4.86,4.7,4.9,4.7,5727,78.9,0.2,15.7,2170,83.5,0.3,24.1,NA,Yerevan_area
17009024,Apartments in the CITY CENTER near the OPERA,entire rental unit,entire_home,109148552,Mихаил,TRUE,40.1849,44.5114,3,1,1,1.5,NA,TRUE,1,moderate,10,0,323,4.85,4.9,5,4.9,6870,44.7,0.4,18.8,1908,46.6,0.5,21.2,NA,Yerevan_area
17018473,Apartment Near Main Postal Office by RIS,entire rental unit,entire_home,501943261,Milena,TRUE,40.1864,44.5048,5,2,4,1.5,NA,TRUE,1,moderate,0,0,54,4.91,4.8,4.8,4.9,2299,63.9,0.1,6.3,632,61.7,0.1,7,NA,Yerevan_area
17128685,Spacious pentouse on Amiryan,entire rental unit,entire_home,12525702,NA,FALSE,40.1799,44.5068,6,3,3,3,NA,NA,2,NA,NA,NA,31,4.58,4.4,4.9,4.7,3587,49.9,0.2,9.8,0,52.5,0,0,NA,Yerevan_area
17298551,Cozy 2-bedroom apt. w/balcony by Lovers' Park.,entire rental unit,entire_home,116701807,Rufina,TRUE,40.1929,44.506100000000004,4,2,3,1.5,NA,FALSE,7,firm,70,0,36,4.72,4.6,4.9,4.7,1798,38.4,0.1,4.9,0,41.5,0,0,NA,Yerevan_area
17344667,"Full of classic Yerevan charm, on Abovian street",entire rental unit,entire_home,14838926,Anoush,TRUE,40.1889,44.5242,4,2,2,1,NA,FALSE,6,strict,0,0,57,4.86,4.8,4.8,4.8,5225,53.8,0.3,14.3,642,53.7,0.1,7.1,yerevan,Yerevan_area
17518642,Republic square apartment,entire rental unit,entire_home,118779157,Taron,FALSE,40.1784,44.5114,4,1,3,1.5,NA,TRUE,3,flexible,0,0,1,NA,NA,NA,NA,1705,51.8,0.1,4.7,653,54.3,0.1,7.3,NA,Yerevan_area
17534634,Luxury penthouse/loft apartment in the city center,entire chalet,entire_home,118932034,Vadim,FALSE,40.1849,44.5072,3,1,2,2,NA,TRUE,4,moderate,40,0,72,4.97,5,5,4.9,662,65.9,0,1.8,662,65.9,0.1,7.4,NA,Yerevan_area
17620460,Hovhannes Kochar's apt.,entire loft,entire_home,32348869,Anna,FALSE,40.1825,44.5196,3,1,1,1,NA,FALSE,1,moderate,8,0,124,4.85,4.8,5,4.8,12504,51.5,0.7,34.3,2766,49.6,0.6,30.7,NA,Yerevan_area
17628978,Light and bright Contemporary Studio ✧✦,entire rental unit,entire_home,21858107,Svetlana,TRUE,40.1678,44.5187,2,1,1,1,NA,FALSE,2,moderate,0,0,178,4.94,5,4.5,4.9,10161,42.3,0.7,27.8,2015,45.6,0.5,22.4,NA,Yerevan_area
17770029,"COZY STUDIO NEAR OPERA, UNBEATABLE LOCATION :)",entire rental unit,entire_home,121306845,Hayk,TRUE,40.1861,44.5137,2,NA,1,1,NA,TRUE,2,moderate,10,0,383,4.88,4.9,4.9,4.9,8227,31.1,0.7,22.5,2336,34.5,0.7,26,NA,Yerevan_area
17788633,LUXURY APARTMENT \VAN GOGH\ IN THE CENTER OF YEREVAN!,entire rental unit,entire_home,18370696,Arman,TRUE,40.1774,44.5029,2,NA,1,1,NA,FALSE,4,strict,34,0,104,4.89,4.9,4.9,4.8,5089,29.8,0.5,13.9,2533,29.9,0.9,28.1,yerevan,Yerevan_area
17807959,Cascade house 2,entire home,entire_home,118750947,Albert,FALSE,40.1897,44.5155,4,2,3,1,NA,TRUE,5,strict,150,0,13,5,4.3,5,4.5,4514,142.7,0.1,12.4,1719,142.5,0.1,19.1,NA,Yerevan_area
17824842,Cascade private house,entire home,entire_home,118750947,Albert,FALSE,40.1897,44.5171,4,2,4,1,NA,TRUE,5,strict,150,0,8,4.88,4.9,5,4.4,5124,133.5,0.1,14,1877,153.2,0.1,20.9,NA,Yerevan_area
17860803,Apartment # 1-on Komitas 1 avenue,entire rental unit,entire_home,122233639,Nara,TRUE,40.2018,44.4951,3,1,2,1,NA,FALSE,2,flexible,10,0,155,4.95,4.9,4.9,4.9,4997,30.6,0.5,13.7,1759,29.5,0.7,19.5,NA,Other_Armenia
17950128,Charming Studio on Pushkin Street at RIS Central,entire rental unit,entire_home,501943261,Milena,TRUE,40.1859,44.508,2,NA,1,1,NA,TRUE,1,moderate,0,0,146,4.88,4.9,5,4.9,12714,53.3,0.6,34.8,3673,59.2,0.7,40.8,NA,Yerevan_area
17984181,"Cozy studio in the City center, Mashtots ave. 13/1",entire rental unit,entire_home,26825577,Suren,TRUE,40.1819,44.5077,2,1,1,1,NA,TRUE,2,strict,19,0,178,4.95,5,5,4.9,9949,44.8,0.6,27.3,3631,54.4,0.7,40.3,NA,Yerevan_area
17985805,"Cozy studio in the City center, Mashtots ave. 13/1",entire rental unit,entire_home,26825577,Suren,TRUE,40.1819,44.5077,2,1,1,1,NA,TRUE,2,strict,19,0,206,4.91,4.9,5,4.9,13368,43.2,0.9,36.6,3586,47.9,0.9,39.8,NA,Yerevan_area
18029087,"Cozy studio in the City center, Mashtots ave. 13/1",entire rental unit,entire_home,26825577,Suren,TRUE,40.1819,44.5078,2,1,1,1,NA,TRUE,2,strict,19,0,212,4.94,5,5,4.8,12162,45.2,0.7,33.3,2662,47.8,0.6,29.6,NA,Yerevan_area
